LeftGazeOrigin, LefGazeDirection, RightGazeOrigin, RightGazeDirection, CombinedGazeOrigin, CombinedGazeDirection
(33.89, 2.75, -42.62),(0.07, 0.03, 1.00), (-30.22, 1.25, -40.00), (0.10, 0.00, 1.00), (-3.87, 1.87, -41.07), (0.09, 0.01, 1.00)
(33.73, 2.86, -42.94),(0.06, 0.02, 1.00), (-30.40, 1.22, -39.97), (0.09, -0.01, 1.00), (-14.66, 1.62, -40.70), (0.08, 0.00, 1.00)
(33.59, 2.93, -43.08),(0.04, 0.02, 1.00), (-30.55, 1.13, -39.82), (0.08, -0.01, 1.00), (28.72, 2.80, -42.83), (0.04, 0.02, 1.00)
(33.37, 2.98, -43.13),(0.02, 0.02, 1.00), (-30.76, 1.29, -40.32), (0.07, -0.02, 1.00), (-3.87, 2.00, -41.50), (0.05, 0.00, 1.00)
(32.31, 2.85, -42.65),(-0.11, 0.03, 0.99), (-31.72, 1.44, -40.65), (-0.06, -0.01, 1.00), (-14.80, 1.82, -41.18), (-0.07, 0.00, 1.00)
(32.32, 2.83, -42.64),(-0.12, 0.02, 0.99), (-31.77, 1.23, -40.02), (-0.08, -0.02, 1.00), (-31.30, 1.24, -40.04), (-0.08, -0.02, 1.00)
(32.46, 2.89, -42.84),(-0.12, 0.03, 0.99), (-31.68, 1.13, -39.76), (-0.07, -0.02, 1.00), (-30.01, 1.17, -39.84), (-0.07, -0.01, 1.00)
(32.55, 2.92, -42.81),(-0.11, 0.02, 0.99), (-31.59, 1.38, -40.34), (-0.07, -0.02, 1.00), (16.64, 2.54, -42.20), (-0.10, 0.01, 1.00)
(32.63, 2.92, -42.73),(-0.10, 0.02, 0.99), (-31.54, 1.24, -39.92), (-0.05, 0.00, 1.00), (31.64, 2.89, -42.69), (-0.10, 0.02, 0.99)
(32.65, 2.92, -42.73),(-0.10, 0.03, 0.99), (-31.52, 1.60, -40.84), (-0.05, -0.01, 1.00), (32.61, 2.92, -42.73), (-0.10, 0.03, 0.99)
(32.64, 2.91, -42.70),(-0.10, 0.03, 0.99), (-31.52, 1.78, -41.24), (-0.05, -0.01, 1.00), (32.62, 2.91, -42.70), (-0.10, 0.03, 0.99)
(32.64, 2.91, -42.70),(-0.10, 0.02, 1.00), (-31.53, 1.19, -39.64), (-0.05, 0.00, 1.00), (32.61, 2.91, -42.69), (-0.10, 0.02, 1.00)
(32.64, 2.91, -42.72),(-0.10, 0.02, 1.00), (-31.54, 1.14, -39.54), (-0.06, 0.00, 1.00), (32.64, 2.91, -42.72), (-0.10, 0.02, 1.00)
